MsgID.STATE,0.0000000,False,False
MsgID.LOCAL_VELOCITY,42.5680000,-0.0000289,-0.0000026,0.0000193
MsgID.GLOBAL_POSITION,0.0000000,-122.3974520,37.7931429,-0.0380000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,42.8190000,73.6041107,0.1149052,0.0385330
MsgID.LOCAL_VELOCITY,42.8190000,-0.0000225,0.0000011,0.0000160
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974530,37.7931437,-0.0140000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,43.0700000,73.6950226,0.0258510,0.0143834
MsgID.LOCAL_VELOCITY,43.0700000,-0.0000309,0.0000032,0.0000157
MsgID.GLOBAL_POSITION,0.0000000,-122.3974531,37.7931424,0.0170000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,43.3210000,73.5483170,0.0183825,-0.0177981
MsgID.LOCAL_VELOCITY,43.3210000,-0.0000270,0.0000007,0.0000188
MsgID.GLOBAL_POSITION,0.0000000,-122.3974554,37.7931436,0.0510000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,43.5710000,73.6866302,-0.1916987,-0.0516298
MsgID.LOCAL_VELOCITY,43.5710000,-0.0000323,0.0000092,0.0000179
MsgID.GLOBAL_POSITION,0.0000000,-122.3974543,37.7931447,0.0850000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,43.8210000,73.8143997,-0.0910660,-0.0859076
MsgID.LOCAL_VELOCITY,43.8210000,-0.0000295,0.0000073,0.0000174
MsgID.STATE,0.0000000,True,True
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974526,37.7931442,0.1140000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,44.0710000,73.7485886,0.0569997,-0.1142488
MsgID.LOCAL_VELOCITY,44.0710000,-0.0000299,0.0000095,0.0000168
MsgID.GLOBAL_POSITION,0.0000000,-122.3974530,37.7931437,0.1450000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
